Repository,Owner,Stars,Forks,Size (KB),Files Found,Nodes Extracted,Valid Nodes,Extraction Success,Extraction Failed,Success Rate (%),Validity Rate (%),Quality Score
free-v2ray-public-list,ebrasha,858,120,13215,261,203806,0,84,0,100.0,0.0,75.0
ShadowSocksShare,the0demiurge,3004,1000,4571,8,0,0,1,0,100.0,0,75.0
streisand,StreisandEffect,23476,1959,4116,42,0,0,12,0,100.0,0,75.0
Free-servers,Pawdroid,17620,1153,56,33,7,0,7,0,100.0,0.0,75.0
fanqiang,Alvin9999-newpac,1981,241,6551,3,0,0,1,0,100.0,0,75.0
china-dictatroship-7,cirosantilli,340,37,17476,17,0,0,7,0,100.0,0,69.8
warp-config-generator-vercel,nellimonix,894,37,2216,34,0,0,10,0,100.0,0,69.8
trojan-rs,lazytiger,225,37,17898,23,0,0,5,0,100.0,0,69.8
free-proxy-list,gfpcom,331,45,36875,14,0,0,4,1,80.0,0,68.0
cihna-dictattorshrip-8,mRFWq7LwNPZjaVv5v6eo,197,23,12715,17,0,0,4,0,100.0,0,64.2
patina,devswha,113,20,12567,40,0,0,13,0,100.0,0,63.0
cn-news,hello-world-1989,425,18,1611,6,2,0,2,0,100.0,0.0,62.2
panda-vpn-pro,DiningFactory,10962,307,3378,0,0,0,0,0,0,0,50.0
free-proxy,crossxx-labs,1456,71,1682,0,0,0,0,0,0,0,50.0
free-ssr-ss-v2ray-vpn-clash,xrayfree,1610,76,1414,0,0,0,0,0,0,0,50.0
.github,gege-circle,1895,152,1706,0,0,0,0,0,0,0,50.0
ShadowSocks-Share,zc-zh-001,394,805,42020,1,0,0,0,0,0,0,50.0
.config,zszszszsz,334,99,4,0,0,0,0,0,0,0,50.0
Kumpulan-Script-Termux,landy22granatt,702,133,26,0,0,0,0,0,0,0,50.0
overtls,ShadowsocksR-Live,445,63,406,3,0,0,0,0,0,0,50.0
x-ui-pro,GFW4Fun,1253,347,4361,5,0,0,0,0,0,0,50.0
BestClash,PuddinCat,1629,104,20917,2,0,0,0,0,0,0,50.0
abshare.github.io,abshare,992,45,8367,0,0,0,0,0,0,0,48.0
telegram-v2ray-configs-collector,mohamadfg-dev,80,6,48868,191,609,0,38,10,79.2,0.0,46.19
free-vpn-subscriptions,Au1rxx,57,8,31267,25,115,0,3,0,100.0,0.0,45.3
free-nodes-sub,wenxig,48,6,8162,7,0,0,3,0,100.0,0,41.8
tolinkshare2.github.io,tolinkshare2,393,16,5405,0,0,0,0,0,0,0,36.4
free-vpn-subscribe,zengfr,30,4,2762,74,13986,0,28,0,100.0,0.0,35.6
b64-url-editor,phlinhng,19,8,6376,4,0,0,1,0,100.0,0,33.9
free-airport-nodes,crashgfw,224,9,488,0,0,0,0,0,0,0,33.6
mkshare3.github.io,mkshare3,248,9,1772,0,0,0,0,0,0,0,33.6
free-ssr-clash.github.io,free-ssr-clash,26,1,27363,359,1,0,90,0,100.0,0.0,33.2
vpnproxy,myikuns,158,5,42650,0,0,0,0,0,0,0,32.0
abshare3.github.io,abshare3,250,4,1902,0,0,0,0,0,0,0,31.6
FreeProxyGo,junjun266,98,2,1241,0,0,0,0,0,0,0,30.2
freevpnssr.github.io,freevpnssr,7,0,16466,119,0,0,38,0,100.0,0,27.1
clashxw.github.io,clashxw,6,0,39026,424,2,0,113,0,100.0,0.0,26.8
free-clash-ssr.github.io,free-clash-ssr,4,0,25730,207,0,0,63,0,100.0,0,26.2
warp-config-generator-vercel,prima32,2,1,1235,11,0,0,2,0,100.0,0,26.0
topv2raynode.github.io,topv2raynode,3,0,29434,119,0,0,33,0,100.0,0,25.9
ASN-China,qqrrooty,1,1,1130,3,0,0,2,0,100.0,0,25.7
news-crawler,wichaisw,1,1,5395,650,0,0,170,0,100.0,0,25.7
warp-awg-gen,Skiro1,1,1,20,2,0,0,1,0,100.0,0,25.7
ai-tools-cn-install,wpeng77,1,1,29,3,0,0,1,0,100.0,0,25.7
clash-rule-china,akiirui,2,0,37280,3,0,0,1,0,100.0,0,25.6
FREE-VPN-VIA-PLANET,CattMurr,1,0,1588,13,0,0,3,0,100.0,0,25.3
SubscribeManagement,kirov-opensource,1,0,48,4,0,0,1,0,100.0,0,25.3
sing-box,Cat-Ling,1,0,3353,1,0,0,1,0,100.0,0,25.3
ComfyUI-Batch-Labeling-CN,Kiwi-shijie,1,0,7,1,0,0,1,0,100.0,0,25.3
chinese-sentiment,cycjimmy,1,0,2113,10,0,0,2,0,100.0,0,25.3
oui,tpxcer,1,0,42772,49,0,0,12,0,100.0,0,25.3
APayShop,aihop,1,0,691,12,0,0,2,0,100.0,0,25.3
feishu-paperclip-bridge,yuanfengxixi,0,0,19,3,0,0,1,0,100.0,0,25.0
surge-clash-rules-mirror,bleeeet,0,0,466,8,5,0,1,0,100.0,0.0,25.0
Warp-config,Sinaksh0,0,0,5923,65,0,0,17,0,100.0,0,25.0
warp-claude-workflow,thomast8,0,0,14,1,0,0,1,0,100.0,0,25.0
warp-config-generator-vercel,bus1236540-maker,0,0,846,11,0,0,1,0,100.0,0,25.0
warp-config-generator-vercel,shulgareth,0,0,846,11,0,0,2,0,100.0,0,25.0
nginx-ssl-auto,scsmods-js,0,0,1945,1,0,0,1,0,100.0,0,25.0
antigravity-proxy-mac,bainian100,0,0,85,2,0,0,1,0,100.0,0,25.0
n8n-nodes-china-holiday,mo-liu,0,0,511,8,0,0,1,0,100.0,0,25.0
Bazi-informed-Restaurant-Business-Analysis,anuphapth,0,0,1724,7,0,0,2,0,100.0,0,25.0
hermes-edge-worker,Charles-beta-he,0,0,0,1,0,0,1,0,100.0,0,25.0
nodeshare,TG-NAV,74,3,3888,3,0,0,0,1,0.0,0,23.4
free-nodes,VoroninaYanina,61,3,434,1,0,0,0,0,0,0,19.5
free-jichang,hysteria350,53,3,432,1,0,0,0,0,0,0,17.1
V2ray_free,WLget,44,3,2859,0,0,0,0,0,0,0,14.4
haproxy_443,izhaohui,21,16,2,1,0,0,0,0,0,0,12.7
jichang,BigData3733,33,4,42,0,0,0,0,0,0,0,11.5
free-nodes,free-proxy-nodes,32,0,480,1,0,0,0,0,0,0,9.6
x2j,code3-dev,25,4,94,0,0,0,0,0,0,0,9.1
Free-servers,skka3134,28,0,215,0,0,0,0,0,0,0,8.4
v2ray-china-list,dctxmei,16,2,9815,0,0,0,0,0,0,0,5.6
fanqiang,toml66l,18,0,9149,0,0,0,0,0,0,0,5.4
Testfree,lerjtl,12,1,578,0,0,0,0,0,0,0,4.0
V2RayN-NodeShare,DaBao-Lee,9,1,500,0,0,0,0,0,0,0,3.1
abc-configs-free-vpn-proxy-list,FreeFolksOn,4,0,492,0,0,0,0,0,0,0,1.2
auto-warp-config,parsamrrelax,1,2,2060,2,0,0,0,0,0,0,1.1
Free-VPN-Servers,general-vpn,2,0,1,0,0,0,0,0,0,0,0.6
free-vpn-clash-nodes,lzm880880,2,0,18,0,0,0,0,0,0,0,0.6
boba_blitz,yourfavoriteneighborhoodpochacco,1,0,2,0,0,0,0,0,0,0,0.3
Saman,saman14641364-ux,1,0,0,0,0,0,0,0,0,0,0.3
ss-manager,JoshuaCylinder,1,0,126,0,0,0,0,0,0,0,0.3
freedom-tools-review,MHShokuhi,1,0,9,0,0,0,0,0,0,0,0.3
RefurbRadar-backend,klausss30,1,0,26,3,0,0,0,0,0,0,0.3
daily-cross-topic-brief,violetundermoon,1,0,20,1,0,0,0,0,0,0,0.3
ssr-jichang,ara84-eng,0,0,5,0,0,0,0,0,0,0,0.0
vpn-jic,male-sys,0,0,3,0,0,0,0,0,0,0,0.0
Trojan-,fbdbdnxg-collab,0,0,3,0,0,0,0,0,0,0,0.0
cn-apps-direct-domains,Clash-FX,0,0,13,0,0,0,0,0,0,0,0.0
shareNode,ssxsssxs,0,0,1,0,0,0,0,0,0,0,0.0
warp,hidr4lisk,0,0,124,2,0,0,0,0,0,0,0.0
ai-bridge-php,gentpan,0,0,11,0,0,0,0,0,0,0,0.0
daily-newsletter,zinan92,0,0,177,1,0,0,0,0,0,0,0.0
SSR-V2Ray-Share,len705,0,0,23,0,0,0,0,0,0,0,0.0
4color-DTC,Muse-KATO,0,0,241,0,0,0,0,0,0,0,0.0
qilan-node-list,shenxinli,0,0,6133,3,0,0,0,0,0,0,0.0
Free-Accelerator---VPN,feiniao1-VPN,0,0,1145,0,0,0,0,0,0,0,0.0
